OYO 3593 Fragrance Habitat,"Near Sapphire International School, Sector 70, Noida","597
",New
OYO 10128 Silver INN,"Sector 52 noida near antriksh apartments , Noida","561
",New
OYO 8205 Hotel Petals Inn,"Behind Sleepwell Showroom, Sector 66, Noida","561
",4.4
OYO 8907 The Nest,"Near Holy Public School, Greater Noida, Noida","576
",4.4
OYO 9530 Hotel Naval Residency,"Sector 41, Noida","597
",4.4
OYO 9641 Sector 71,"Block A Sector 71, Noida","624
",4.4
OYO 10172 Intown Residency,"Sector-72, Noida","639
",New
OYO 11361 Hotel Park Residency,"Sector 51, Noida","723
",4.3
OYO Flagship 238 Noida Sector 72,"Sector 72, Noida","751
",4.3
OYO 9025 Viditva 1,"Opp. Family Medicare Hospital, Sec 66, Sector-66, Noida","753
",4.3
OYO 11926 OOAK Hotel,"12th street Near landmark school Sigma 1 Greater Noida, Noida","561
",4.3
OYO 2807 Hotel Crosswinds Residency,"Sector 71, Noida","597
",New
OYO 9915 Sector 46,"Sector 46, Noida, Noida","612
",4.3
OYO Flagship 236 Sector 49,"Sector 49, Noida","751
",4.3
OYO 13403 petals elite,"D 72 sector 47, Noida","579
",4.3
OYO 10759 Hotel Golden Nest,"Sec 52, Noida","609
",4.3
OYO 11050 Diamond Nest,"Street Number 8, Sector 66, Noida","634
",4.2
OYO 9073 RN 32,"Sector 62, Noida","714
",4.2
OYO 11416 Hotel SAAN & Banquets,"MamuraSector-66, Noida","726
",4.4
OYO Flagship 237 Sector 41,"Sector 41, Noida","751
",4.4
OYO 10662 Hotel Akash Palace,"Block D, Sector 51, Noida","760
",New
OYO 8500 Premium Corporate Suites,"Near Sapphire International School, Sector-70, Noida","802
",New
OYO 11520 Galaxy Paradise,"Sector 108, Noida","807
",4.5
OYO 9068 Hotel Green View,"Near Sarla Chopra School, Sec. 56, Noida","816
",4.5
OYO 9339 Terrene Empire,"Sector 63, Noida","856
",4.5
OYO 13046 The City Hospitality,"CH-22 near sapphire international school sector 70 , Noida","856
",4.5
OYO 10663 Triage Home Stay,"Sector 62, Noida","856
",4.4
OYO 441 Hotel Mascot,"Sector 72, Noida","856
",4.4
OYO 11521 Homestead Stay,"Block B, Sector 62, Noida","856
",4.5
OYO 404 Hotel BlueBell,"Near IIMT College, Pari Chowk, Noida","856
",4.5
OYO 9222 Viditva 2,"Sector 49, Noida","766
",4.4
OYO 9340 Aanandam Villa,"Sector 46, Noida","804
",4.4
OYO 9935 Hotel The Mango House,"Near Jaypee Wish Town, Noida.","808
",4.6
OYO 9338 Hotel InTown,"Sector 62, Noida","834
",4.6
OYO 12722 B K House,"D182 , Sector-51, Noida","856
",4.9
OYO 6343 Hotel City Rooms Greater Noida,"Opp. Aaj Enterprise, Greater Noida, Noida","856
",4.9
OYO 8507 Stardust Residency,"Sector 48, Sector-48, Noida","856
",4.2
OYO 12424 Diamond Castle,"M Block, Sector 66, Noida","856
",4.2
OYO 10664 Aone INN,"Sector-122, Noida","856
",4.4
OYO 11495 Mehta Guest House,"Sector 105, Noida","856
",4.4
OYO 9962 Mascot Residency,"Sec. 51, Near kidszee School, Noida","856
",New
OYO 8447 Cosy Tree,"Near FORTIS, Angel Nest Apartment, Sec. 62, Noida","856
",New
OYO 9069 Hotel WP 13,"Sector 71, Noida","856
",4.4
