OYO 5743 Zineb,"Sector-122, Noida",4.4
OYO 11926 OOAK Hotel,"B 261 Sigma, 1 first floor , Noida",4.7
OYO Townhouse 004 Sector 51 Noida,"Sector 51, Noida",4.5
OYO 11416 Hotel SAAN & Banquets,"MamuraSector-66, Noida",4.1
OYO Flagship 273 Noida Expressway SEZ,"Block C, Sector 61, Noida",4.4
OYO 8910 Celeste Inn,"Near Awana Complex, Greater Noida, Noida",4.7
OYO 8876 Hotel Sarthi,"Near Kanchanga Market, Block A Community Center, Noida",4.5
OYO 709 Hotel Cross Winds,"Near B Block Market, Sec. 62, Noida",4.0
OYO 9841 The Vivir 1,"Near R.K Public School, Sector-66, Noida",4.2
OYO 8907 The Nest,"Near Holy Public School, Greater Noida, Noida",4.2
OYO Townhouse 028 Corporate Suite,"Sector 62, Noida",4.3
OYO 9074 Mascot Treo,"Sector 49, Noida",4.3
OYO 9223 near Atta Market,"Sector 19, Noida",4.0
OYO Flagship 236 Sector 49,"Sector 49, Noida",4.7
OYO Flagship 237 Sector 41,"Sector 41, Noida",4.2
OYO 11050 Diamond Nest,"Street Number 8, Sector 66, Noida",4.3
OYO 8447 Cosy Tree,"Near FORTIS, Angel Nest Apartment, Sec. 62, Noida",4.2
OYO 404 Hotel BlueBell,"Near IIMT College, Pari Chowk, Noida",4.3
OYO 2895 Cosy Tree Rooms,"Sector 62, Noida",4.5
